Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "13.8 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "13.8 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "13.8 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "13.8 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "13.8 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
1, 4896.19285953827, 2155.64198564102, 4896.19285953827, 5349.71932796964, 2363.81572278045, 1023.93689527501, 2363.81572278045, 2576.05736286471, 29.3030530418416, 0, 484.796111819201, 351.918709637499, 84.3661889833741, 54.0349326310475, 84.3661889833741, 54.0349326310475, 37.1315549068114, 54.0349326310475, 47.2346340765624, -6.95748770116097E-017, 37.1315549068114, 47.2346340765624, 31.1641179006356, 53.2020710827385, 18.4227100861424, 0.00168714332070149, 18.4243972147359, 12.7397206858996, 0, 0, 0, 0, 70.3897609943526, 13.9764279890214, 0, 0, 0, 0, 0, 17.1876899116141, 13.9764279890214, 0, 0, 0, 0, 0, 5.96743700617613, 0, 0, 0, 0, 0, 0, 47.2346340765624, 0, 0, 0, 0, 0, 0, 822.411952666854, 1541.4037701136, 0, 0, 0, 0, 0
2, 4623.13703501059, 2028.75126803428, 4896.19285953827, 5349.71932796964, 2231.91040990825, 968.406940535301, 2363.81572278045, 2576.05736286471, 28.7963164353047, 0, 433.14314189664, 309.218883837877, 79.7325593189973, 46.1025311386241, 84.3661889833741, 54.0349326310475, 32.4039486646081, 46.1025311386241, 47.3286106543898, -8.59915672017274E-017, 37.1315549068114, 47.3286106543898, 27.2981213164542, 52.4344380025437, 16.3705836044113, 0.00141402618286915, 16.3719976174003, 10.9261236990539, 0, 0, 0, 0, 67.7124152361289, 12.0201440828688, 0, 0, 0, 0, 0, 15.2779772335853, 12.0201440828688, 0, 0, 0, 0, 0, 5.10582734815387, 0, 0, 0, 0, 0, 0, 47.3286106543898, 0, 0, 0, 0, 0, 0, 815.870146160515, 1416.04026374774, 0, 0, 0, 0, 0
3, 4404.08886090531, 1926.44476969708, 4896.19285953827, 5349.71932796964, 2125.82666261626, 923.671456029854, 2363.81572278045, 2576.05736286471, 28.4927660984342, 0, 403.073934965819, 284.429908139758, 76.2853009767631, 39.672426525585, 84.3661889833741, 54.0349326310475, 28.8786884871718, 39.672426525585, 47.4066124895919, 1.48095842737765E-018, 37.1315549068114, 47.4066124895919, 24.5091130396223, 51.7761879371415, 14.8103429867368, 0.00126759452859853, 14.8116105692985, 9.69750247032357, 0, 0, 0, 0, 65.5734941058666, 10.7118068708968, 0, 0, 0, 0, 0, 13.7973061687253, 10.7118068708968, 0, 0, 0, 0, 0, 4.36957544754951, 0, 0, 0, 0, 0, 0, 47.4066124895919, 0, 0, 0, 0, 0, 0, 810.961922148777, 1314.8647404675, 0, 0, 0, 0, 0
4, 4431.39400585578, 1938.24505864893, 4896.19285953827, 5349.71932796964, 2138.90149042972, 929.176926048173, 2363.81572278045, 2576.05736286471, 25.6704343986765, 0, 435.886895031123, 296.235498632138, 76.8652118262455, 40.0671093156546, 84.3661889833741, 54.0349326310475, 29.4700047438398, 40.0671093156546, 47.3952070824053, 6.13788098848097E-018, 37.1315549068114, 47.4066124895919, 25.0900875235806, 51.7751243026644, 14.931758652918, 0.00130156392428149, 14.9330602047307, 10.1570273188503, 0, 0, 0, 0, 65.766946507337, 11.0982653189082, 0, 0, 0, 0, 0, 13.9918222046728, 11.0982653189082, 0, 0, 0, 0, 0, 4.37991722025905, 0, 0, 0, 0, 0, 0, 47.3952070824053, 0, 0, 0, 0, 0, 0, 798.904756551345, 1339.99673387839, 0, 0, 0, 0, 0
5, 4548.58827771284, 1996.71435770783, 4896.19285953827, 5349.71932796964, 2196.28380480267, 953.298008399872, 2363.81572278045, 2576.05736286471, 13.0145108451784, 0, 461.462425228092, 376.486781118286, 78.0832067212854, 45.1876785232054, 84.3661889833741, 54.0349326310475, 30.723783982949, 45.1876785232054, 47.3594227383359, -1.14426167955704E-016, 37.1315549068114, 47.4066124895919, 25.514162746999, 52.569043974286, 15.7971420140023, 0.00281264846669001, 15.7999546499777, 9.71420809702126, 0, 0, 0, 0, 66.8922026902248, 11.1910040310602, 0, 0, 0, 0, 0, 14.3231587159388, 11.1910040310602, 0, 0, 0, 0, 0, 5.20962123595008, 0, 0, 0, 0, 0, 0, 47.3594227383359, 0, 0, 0, 0, 0, 0, 790.260158622856, 1406.0236461798, 0, 0, 0, 0, 0
6, 4893.84239170797, 2160.03473512206, 4896.19285953827, 5349.71932796964, 2360.47676512506, 1021.02471808326, 2363.81572278045, 2576.05736286471, 10.4487211722165, 0, 505.574384566776, 421.659775960673, 86.5324750034994, 59.140606595692, 86.5324750034994, 59.140606595692, 39.3263041377657, 59.140606595692, 47.2061708657342, 1.26614628403977E-016, 39.3263041377657, 47.4066124895919, 32.6008637196869, 53.9316112838129, 19.2314734583504, 0.00157941204294217, 19.2330528551026, 13.3678108645842, 0, 0, 0, 0, 71.7923886561492, 14.7400863473505, 0, 0, 0, 0, 0, 17.8607773723363, 14.7400863473505, 0, 0, 0, 0, 0, 6.72544041807873, 0, 0, 0, 0, 0, 0, 47.2061708657342, 0, 0, 0, 0, 0, 0, 787.416478698335, 1573.06028642674, 0, 0, 0, 0, 0
7, 4680.43038546673, 2057.53403634353, 4896.19285953827, 5349.71932796964, 2257.45733555711, 977.748983880376, 2363.81572278045, 2576.05736286471, 4.4064683940111, 0, 676.455874474045, 578.587120410018, 82.831532150676, 51.159111718814, 86.5324750034994, 59.140606595692, 35.5146335701929, 51.159111718814, 47.3168985804833, -2.5513112498889E-016, 39.3263041377657, 47.4066124895919, 29.6718238513334, 53.1597082993426, 16.6426796911594, 0.00141794260850364, 16.6440976205769, 13.0277262307566, 0, 0, 0, 0, 68.5972206124193, 14.2343115382569, 0, 0, 0, 0, 0, 15.4375123130767, 14.2343115382569, 0, 0, 0, 0, 0, 5.84280971885935, 0, 0, 0, 0, 0, 0, 47.3168985804833, 0, 0, 0, 0, 0, 0, 790.745197253238, 1466.71213830388, 0, 0, 0, 0, 0
8, 4513.2497593321, 1974.57375785865, 4896.19285953827, 5349.71932796964, 2174.57485859421, 942.353129037316, 2363.81572278045, 2576.05736286471, 23.3733985985266, 0, 575.529382805936, 462.421399074564, 82.1233258275006, 45.0626434678786, 86.5324750034994, 59.140606595692, 34.7287837449202, 45.0626434678786, 47.3945420825806, -5.39267426543003E-018, 39.3263041377657, 47.4066124895919, 29.4692725433531, 52.6540532841476, 15.0607949462233, 0.000909559036199256, 15.0617044934641, 14.4075680498891, 0, 0, 0, 0, 66.4155005607197, 15.707825266781, 0, 0, 0, 0, 0, 13.7614472765721, 15.707825266781, 0, 0, 0, 0, 0, 5.25951120156701, 0, 0, 0, 0, 0, 0, 47.3945420825806, 0, 0, 0, 0, 0, 0, 792.23977780598, 1382.33508078824, 0, 0, 0, 0, 0
9, 5093.63566201271, 2246.02854914649, 5093.63566201271, 5566.84547126186, 2442.62694238756, 1052.90833227075, 2442.62694238756, 2659.89517384479, 58.721825046653, 2.83375302200143, 932.143100626677, 544.738673631664, 104.28437707636, 70.2674729192472, 104.28437707636, 70.2674729192472, 57.0718547086459, 70.2674729192472, 47.2125223677151, 2.95015208242694E-017, 57.0718547086459, 47.4066124895919, 48.417037067514, 55.8673400088472, 20.4260407043006, 0.00101437277834186, 20.4270550619879, 27.9899820055258, 0, 0, 0, 0, 73.1047590869765, 31.1796179893844, 0, 0, 0, 0, 0, 17.2374190781293, 31.1796179893844, 0, 0, 0, 0, 0, 8.65481764113204, 0, 0, 0, 0, 0, 0, 47.2125223677151, 0, 0, 0, 0, 0, 0, 808.15996145436, 1634.46698093319, 0, 0, 0, 0, 0
10, 5349.46408863705, 2374.25478410895, 5349.46408863705, 5852.67902891331, 2560.84710988127, 1104.05803438532, 2560.84710988127, 2788.70616298635, 47.5367848512961, 9.27041037462919, 947.733304322568, 534.094609202552, 113.988712488044, 83.2483741927177, 113.988712488044, 83.2483741927177, 66.8446292772957, 83.2483741927177, 47.1440832107488, -6.13464438823173E-018, 66.8446292772957, 47.4066124895919, 56.4231719206515, 57.5655405673929, 22.8112256817669, 0.00102465095655763, 22.8122503160812, 33.6109216045699, 0, 0, 0, 0, 76.0739084638842, 37.9148040241599, 0, 0, 0, 0, 0, 18.5083678964913, 37.9148040241599, 0, 0, 0, 0, 0, 10.421457356644, 0, 0, 0, 0, 0, 0, 47.1440832107488, 0, 0, 0, 0, 0, 0, 824.376016601092, 1736.47109328017, 0, 0, 0, 0, 0
