"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "13.8 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "13.8 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "13.8 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "13.8 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "13.8 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
1, 2448.09642976914, 1077.82099282051, 2448.09642976914, 2674.85966398482, 2363.81572278045, 1023.93689527501, 2363.81572278045, 2576.05736286471, 29.3030530418416, 0, 484.796111819201, 351.918709637499, 84.2802362441567, 53.8861332618275, 84.2802362441567, 53.8861332618275, 37.045602167594, 53.8861332618275, 47.2346340765624, -6.95748770116097E-017, 37.045602167594, 47.2346340765624, 31.0781651614182, 53.2020710827385, 18.3367649435228, 0.001679546651798, 18.3384444755185, 12.7397206858996, 0, 0, 0, 0, 70.3038082551351, 13.9764279890214, 0, 0, 0, 0, 0, 17.1017371723966, 13.9764279890214, 0, 0, 0, 0, 0, 5.96743700617613, 0, 0, 0, 0, 0, 0, 47.2346340765624, 0, 0, 0, 0, 0, 0, 822.411952666854, 1541.4037701136, 0, 0, 0, 0, 0
2, 2311.56851750529, 1014.37563401714, 2448.09642976914, 2674.85966398482, 2231.91040990825, 968.406940535301, 2363.81572278045, 2576.05736286471, 28.7963164353047, 0, 433.14314189664, 309.218883837877, 79.6560242935282, 45.9703249620298, 84.2802362441567, 53.8861332618275, 32.3274136391389, 45.9703249620298, 47.3286106543898, -8.59915672017274E-017, 37.045602167594, 47.3286106543898, 27.2215862909851, 52.4344380025437, 16.294054978975, 0.00140762608522197, 16.2954625919312, 10.9261236990539, 0, 0, 0, 0, 67.6358802106598, 12.0201440828688, 0, 0, 0, 0, 0, 15.2014422081161, 12.0201440828688, 0, 0, 0, 0, 0, 5.10582734815387, 0, 0, 0, 0, 0, 0, 47.3286106543898, 0, 0, 0, 0, 0, 0, 815.870146160515, 1416.04026374774, 0, 0, 0, 0, 0
3, 2202.04443045266, 963.222384848538, 2448.09642976914, 2674.85966398482, 2125.82666261626, 923.671456029854, 2363.81572278045, 2576.05736286471, 28.4927660984342, 0, 403.073934965819, 284.429908139758, 76.2159196113943, 39.5528243115333, 84.2802362441567, 53.8861332618275, 28.8093071218029, 39.5528243115333, 47.4066124895919, 1.48095842737765E-018, 37.045602167594, 47.4066124895919, 24.4397316742534, 51.7761879371415, 14.7409674112937, 0.0012618045451551, 14.7422292039297, 9.69750247032357, 0, 0, 0, 0, 65.5041127404978, 10.7118068708968, 0, 0, 0, 0, 0, 13.7279248033565, 10.7118068708968, 0, 0, 0, 0, 0, 4.36957544754951, 0, 0, 0, 0, 0, 0, 47.4066124895919, 0, 0, 0, 0, 0, 0, 810.961922148777, 1314.8647404675, 0, 0, 0, 0, 0
4, 2215.69700292789, 969.122529324463, 2448.09642976914, 2674.85966398482, 2138.90149042972, 929.176926048173, 2363.81572278045, 2576.05736286471, 25.6704343986765, 0, 435.886895031123, 296.235498632138, 76.7949741818377, 39.9459984302788, 84.2802362441567, 53.8861332618275, 29.399767099432, 39.9459984302788, 47.3952070824053, 6.13788098848097E-018, 37.045602167594, 47.4066124895919, 25.0198498791729, 51.7751243026644, 14.8615268771282, 0.00129569524706788, 14.8628225603229, 10.1570273188503, 0, 0, 0, 0, 65.6967088629293, 11.0982653189082, 0, 0, 0, 0, 0, 13.921584560265, 11.0982653189082, 0, 0, 0, 0, 0, 4.37991722025905, 0, 0, 0, 0, 0, 0, 47.3952070824053, 0, 0, 0, 0, 0, 0, 798.904756551345, 1339.99673387839, 0, 0, 0, 0, 0
5, 2274.29413885642, 998.357178853917, 2448.09642976914, 2674.85966398482, 2196.28380480267, 953.298008399872, 2363.81572278045, 2576.05736286471, 13.0145108451784, 0, 461.462425228092, 376.486781118286, 78.0090520380097, 45.0596619655641, 84.2802362441567, 53.8861332618275, 30.6496292996734, 45.0596619655641, 47.3594227383359, -1.14426167955704E-016, 37.045602167594, 47.4066124895919, 25.4400080637233, 52.569043974286, 15.7230019833371, 0.00279799579490161, 15.7257999667021, 9.71420809702126, 0, 0, 0, 0, 66.8180480069492, 11.1910040310602, 0, 0, 0, 0, 0, 14.2490040326632, 11.1910040310602, 0, 0, 0, 0, 0, 5.20962123595008, 0, 0, 0, 0, 0, 0, 47.3594227383359, 0, 0, 0, 0, 0, 0, 790.260158622856, 1406.0236461798, 0, 0, 0, 0, 0
6, 2446.92119585399, 1080.01736756103, 2448.09642976914, 2674.85966398482, 2360.47676512506, 1021.02471808326, 2363.81572278045, 2576.05736286471, 10.4487211722165, 0, 505.574384566776, 421.659775960673, 86.4465189308181, 58.9918022841537, 86.4465189308181, 58.9918022841537, 39.2403480650844, 58.9918022841537, 47.2061708657342, 1.26614628403977E-016, 39.2403480650844, 47.4066124895919, 32.5149076470055, 53.9316112838129, 19.1455231372651, 0.00157366037558636, 19.1470967824212, 13.3678108645842, 0, 0, 0, 0, 71.7064325834678, 14.7400863473505, 0, 0, 0, 0, 0, 17.7748212996549, 14.7400863473505, 0, 0, 0, 0, 0, 6.72544041807873, 0, 0, 0, 0, 0, 0, 47.2061708657342, 0, 0, 0, 0, 0, 0, 787.416478698335, 1573.06028642674, 0, 0, 0, 0, 0
7, 2340.21519273336, 1028.76701817176, 2448.09642976914, 2674.85966398482, 2257.45733555711, 977.748983880376, 2363.81572278045, 2576.05736286471, 4.4064683940111, 0, 676.455874474045, 578.587120410018, 82.7530218634487, 51.0234262500385, 86.4465189308181, 58.9918022841537, 35.4361232829657, 51.0234262500385, 47.3168985804833, -2.5513112498889E-016, 39.2403480650844, 47.4066124895919, 29.5933135641062, 53.1597082993426, 16.5641741750923, 0.00141317138423932, 16.5655873333497, 13.0277262307566, 0, 0, 0, 0, 68.518710325192, 14.2343115382569, 0, 0, 0, 0, 0, 15.3590020258495, 14.2343115382569, 0, 0, 0, 0, 0, 5.84280971885935, 0, 0, 0, 0, 0, 0, 47.3168985804833, 0, 0, 0, 0, 0, 0, 790.745197253238, 1466.71213830388, 0, 0, 0, 0, 0
8, 2256.62487966605, 987.286878929325, 2448.09642976914, 2674.85966398482, 2174.57485859421, 942.353129037316, 2363.81572278045, 2576.05736286471, 23.3733985985266, 0, 575.529382805936, 462.421399074564, 82.0504270309618, 44.9368454213897, 86.4465189308181, 58.9918022841537, 34.6558849483814, 44.9368454213897, 47.3945420825806, -5.39267426543003E-018, 39.2403480650844, 47.4066124895919, 29.3963737468143, 52.6540532841476, 14.98789930025, 0.000906408410905916, 14.9888056969252, 14.4075680498891, 0, 0, 0, 0, 66.3426017641809, 15.707825266781, 0, 0, 0, 0, 0, 13.6885484800333, 15.707825266781, 0, 0, 0, 0, 0, 5.25951120156701, 0, 0, 0, 0, 0, 0, 47.3945420825806, 0, 0, 0, 0, 0, 0, 792.23977780598, 1382.33508078824, 0, 0, 0, 0, 0
9, 2546.81783100635, 1123.01427457325, 2546.81783100635, 2783.42273563093, 2442.62694238756, 1052.90833227075, 2442.62694238756, 2659.89517384479, 58.721825046653, 2.83375302200143, 932.143100626677, 544.738673631664, 104.191162242057, 70.1058806658104, 104.191162242057, 70.1058806658104, 56.9786398743423, 70.1058806658104, 47.2125223677151, 2.95015208242694E-017, 56.9786398743423, 47.4066124895919, 48.3238222332104, 55.8673400088472, 20.3328298854706, 0.00101035722970589, 20.3338402276843, 27.9899820055258, 0, 0, 0, 0, 73.0115442526729, 31.1796179893844, 0, 0, 0, 0, 0, 17.1442042438257, 31.1796179893844, 0, 0, 0, 0, 0, 8.65481764113204, 0, 0, 0, 0, 0, 0, 47.2125223677151, 0, 0, 0, 0, 0, 0, 808.15996145436, 1634.46698093319, 0, 0, 0, 0, 0
10, 2674.73204431853, 1187.12739205447, 2674.73204431853, 2926.33951445666, 2560.84710988127, 1104.05803438532, 2560.84710988127, 2788.70616298635, 47.5367848512961, 9.27041037462919, 947.733304322568, 534.094609202552, 113.885700861835, 83.0695212552511, 113.885700861835, 83.0695212552511, 66.741617651086, 83.0695212552511, 47.1440832107488, -6.13464438823173E-018, 66.741617651086, 47.4066124895919, 56.3201602944418, 57.5655405673929, 22.7082185086536, 0.00102019777795778, 22.7092386898715, 33.6109216045699, 0, 0, 0, 0, 75.9708968376745, 37.9148040241599, 0, 0, 0, 0, 0, 18.4053562702816, 37.9148040241599, 0, 0, 0, 0, 0, 10.421457356644, 0, 0, 0, 0, 0, 0, 47.1440832107488, 0, 0, 0, 0, 0, 0, 824.376016601092, 1736.47109328017, 0, 0, 0, 0, 0
