"Hour", "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "13.8 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "Aux26", "13.8 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "Aux27", "13.8 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "Aux28", "13.8 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "Aux29", "13.8 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25", "Aux30"
1, 2448.09642976914, 1077.82099282051, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.085952739217435, 0.14879936922004, 0.085952739217435, 0.14879936922004, 0.085952739217435, 0.14879936922004, 0, 0, 0.085952739217435, 0, 0.085952739217435, 0, 0.0859451426196548, 7.59666890348854E-006, 0.085952739217435, 0, 0, 0, 0, 0, 0.085952739217435, 0, 0, 0, 0, 0, 0, 0.085952739217435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2, 2311.56851750529, 1014.37563401714, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0765350254691439, 0.132206176594307, 0.085952739217435, 0.14879936922004, 0.0765350254691439, 0.132206176594307, 0, 0, 0.085952739217435, 0, 0.0765350254691439, 0, 0.0765286254362617, 6.4000976471843E-006, 0.0765350254691439, 0, 0, 0, 0, 0, 0.0765350254691439, 0, 0, 0, 0, 0, 0, 0.0765350254691439, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, 2202.04443045266, 963.222384848538, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0693813653688412, 0.119602214051702, 0.085952739217435, 0.14879936922004, 0.0693813653688412, 0.119602214051702, 0, 0, 0.085952739217435, 0, 0.0693813653688412, 0, 0.0693755754431535, 5.78998344343185E-006, 0.0693813653688412, 0, 0, 0, 0, 0, 0.0693813653688412, 0, 0, 0, 0, 0, 0, 0.0693813653688412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, 2215.69700292789, 969.122529324463, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0702376444077818, 0.121110885375761, 0.085952739217435, 0.14879936922004, 0.0702376444077818, 0.121110885375761, 0, 0, 0.085952739217435, 0, 0.0702376444077818, 0, 0.0702317757897838, 5.86867721360873E-006, 0.0702376444077818, 0, 0, 0, 0, 0, 0.0702376444077818, 0, 0, 0, 0, 0, 0, 0.0702376444077818, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, 2274.29413885642, 998.357178853917, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0741546832756139, 0.128016557641386, 0.085952739217435, 0.14879936922004, 0.0741546832756139, 0.128016557641386, 0, 0, 0.085952739217435, 0, 0.0741546832756139, 0, 0.0741400306652685, 1.46526717883972E-005, 0.0741546832756139, 0, 0, 0, 0, 0, 0.0741546832756139, 0, 0, 0, 0, 0, 0, 0.0741546832756139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, 2446.92119585399, 1080.01736756103, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0859560726813506, 0.148804311538348, 0.0859560726813506, 0.148804311538348, 0.0859560726813506, 0.148804311538348, 0, 0, 0.0859560726813506, 0, 0.0859560726813506, 0, 0.0859503210853329, 5.75166735580845E-006, 0.0859560726813506, 0, 0, 0, 0, 0, 0.0859560726813506, 0, 0, 0, 0, 0, 0, 0.0859560726813506, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, 2340.21519273336, 1028.76701817176, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0785102872272255, 0.135685468775511, 0.0859560726813506, 0.148804311538348, 0.0785102872272255, 0.135685468775511, 0, 0, 0.0859560726813506, 0, 0.0785102872272255, 0, 0.0785055160670708, 4.77122426432053E-006, 0.0785102872272255, 0, 0, 0, 0, 0, 0.0785102872272255, 0, 0, 0, 0, 0, 0, 0.0785102872272255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, 2256.62487966605, 987.286878929325, 2448.09642976914, 2674.85966398482, 0, 0, 0, 0, 0, 0, 0, 0, 0.0728987965388223, 0.125798046488897, 0.0859560726813506, 0.148804311538348, 0.0728987965388223, 0.125798046488897, 0, 0, 0.0859560726813506, 0, 0.0728987965388223, 0, 0.0728956459732652, 3.15062529333976E-006, 0.0728987965388223, 0, 0, 0, 0, 0, 0.0728987965388223, 0, 0, 0, 0, 0, 0, 0.0728987965388223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
9, 2546.81783100635, 1123.01427457325, 2546.81783100635, 2783.42273563093, 0, 0, 0, 0, 0, 0, 0, 0, 0.0932148343035951, 0.1615922534368, 0.0932148343035951, 0.1615922534368, 0.0932148343035951, 0.1615922534368, 0, 0, 0.0932148343035951, 0, 0.0932148343035951, 0, 0.0932108188300161, 4.01554863596698E-006, 0.0932148343035951, 0, 0, 0, 0, 0, 0.0932148343035951, 0, 0, 0, 0, 0, 0, 0.0932148343035951, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
10, 2674.73204431853, 1187.12739205447, 2674.73204431853, 2926.33951445666, 0, 0, 0, 0, 0, 0, 0, 0, 0.103011626209714, 0.17885293746664, 0.103011626209714, 0.17885293746664, 0.103011626209714, 0.17885293746664, 0, 0, 0.103011626209714, 0, 0.103011626209714, 0, 0.103007173113288, 4.45317859984851E-006, 0.103011626209714, 0, 0, 0, 0, 0, 0.103011626209714, 0, 0, 0, 0, 0, 0, 0.103011626209714, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
11, 2829.38193736585, 1259.21182347773, 2829.38193736585, 3096.93664188957, 0, 0, 0, 0, 0, 0, 0, 0, 0.115296618840075, 0.200497413757548, 0.115296618840075, 0.200497413757548, 0.115296618840075, 0.200497413757548, 0, 0, 0.115296618840075, 0, 0.115296618840075, 0, 0.115291778276472, 4.84065884604146E-006, 0.115296618840075, 0, 0, 0, 0, 0, 0.115296618840075, 0, 0, 0, 0, 0, 0, 0.115296618840075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
12, 2647.11527896684, 1170.58909868923, 2829.38193736585, 3096.93664188957, 0, 0, 0, 0, 0, 0, 0, 0, 0.100690306837321, 0.174763347354718, 0.115296618840075, 0.200497413757548, 0.100690306837321, 0.174763347354718, 0, 0, 0.115296618840075, 0, 0.100690306837321, 0, 0.100685404583172, 4.90233624001424E-006, 0.100690306837321, 0, 0, 0, 0, 0, 0.100690306837321, 0, 0, 0, 0, 0, 0, 0.100690306837321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
13, 2724.68651539818, 1205.74413182004, 2829.38193736585, 3096.93664188957, 0, 0, 0, 0, 0, 0, 0, 0, 0.106664913801593, 0.185289018205774, 0.115296618840075, 0.200497413757548, 0.106664913801593, 0.185289018205774, 0, 0, 0.115296618840075, 0, 0.106664913801593, 0, 0.106661354457417, 3.55943220228316E-006, 0.106664913801593, 0, 0, 0, 0, 0, 0.106664913801593, 0, 0, 0, 0, 0, 0, 0.106664913801593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
14, 2687.02463857228, 1189.42475170333, 2829.38193736585, 3096.93664188957, 0, 0, 0, 0, 0, 0, 0, 0, 0.103779244940495, 0.18020588021999, 0.115296618840075, 0.200497413757548, 0.103779244940495, 0.18020588021999, 0, 0, 0.115296618840075, 0, 0.103779244940495, 0, 0.103773757675088, 5.48735026007918E-006, 0.103779244940495, 0, 0, 0, 0, 0, 0.103779244940495, 0, 0, 0, 0, 0, 0, 0.103779244940495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
15, 2814.3855838598, 1252.93009058547, 2829.38193736585, 3096.93664188957, 0, 0, 0, 0, 0, 0, 0, 0, 0.114059074141434, 0.198318302448373, 0.115296618840075, 0.200497413757548, 0.114059074141434, 0.198318302448373, 0, 0, 0.115296618840075, 0, 0.114059074141434, 0, 0.114051759348147, 7.3148863175545E-006, 0.114059074141434, 0, 0, 0, 0, 0, 0.114059074141434, 0, 0, 0, 0, 0, 0, 0.114059074141434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 2969.31903670863, 1326.01867754358, 2969.31903670863, 3251.95034939875, 0, 0, 0, 0, 0, 0, 0, 0, 0.127099100525142, 0.221293663548189, 0.127099100525142, 0.221293663548189, 0.127099100525142, 0.221293663548189, 0, 0, 0.127099100525142, 0, 0.127099100525142, 0, 0.127090164724189, 8.93590583011683E-006, 0.127099100525142, 0, 0, 0, 0, 0, 0.127099100525142, 0, 0, 0, 0, 0, 0, 0.127099100525142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
17, 3331.87184607486, 1504.86183008538, 3331.87184607486, 3655.95119309794, 0, 0, 0, 0, 0, 0, 0, 0, 0.160618552582106, 0.280348852604395, 0.160618552582106, 0.280348852604395, 0.160618552582106, 0.280348852604395, 0, 0, 0.160618552582106, 0, 0.160618552582106, 0, 0.160611535075904, 7.01763783382603E-006, 0.160618552582106, 0, 0, 0, 0, 0, 0.160618552582106, 0, 0, 0, 0, 0, 0, 0.160618552582106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
18, 3738.25618166172, 1696.78692166839, 3738.25618166172, 4105.31912733675, 0, 0, 0, 0, 0, 0, 0, 0, 0.202623412618414, 0.354361518889549, 0.202623412618414, 0.354361518889549, 0.202623412618414, 0.354361518889549, 0, 0, 0.202623412618414, 0, 0.202623412618414, 0, 0.202603543720977, 1.98690621769204E-005, 0.202623412618414, 0, 0, 0, 0, 0, 0.202623412618414, 0, 0, 0, 0, 0, 0, 0.202623412618414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
19, 3969.33198052591, 1802.3897180365, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 0.22833263455471, 0.399660371106467, 0.22833263455471, 0.399660371106467, 0.22833263455471, 0.399660371106467, 0, 0, 0.22833263455471, 0, 0.22833263455471, 0, 0.228306600356147, 2.60343862731673E-005, 0.22833263455471, 0, 0, 0, 0, 0, 0.22833263455471, 0, 0, 0, 0, 0, 0, 0.22833263455471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
20, 3750.13203723064, 1696.53608476814, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 0.203586828137981, 0.356058673403808, 0.22833263455471, 0.399660371106467, 0.203586828137981, 0.356058673403808, 0, 0, 0.22833263455471, 0, 0.203586828137981, 0, 0.203567425330921, 1.94029742078552E-005, 0.203586828137981, 0, 0, 0, 0, 0, 0.203586828137981, 0, 0, 0, 0, 0, 0, 0.203586828137981, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
21, 3649.88319137086, 1653.11598097232, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 0.192877193605062, 0.337188657287974, 0.22833263455471, 0.399660371106467, 0.192877193605062, 0.337188657287974, 0, 0, 0.22833263455471, 0, 0.192877193605062, 0, 0.192860314450867, 1.6879313227685E-005, 0.192877193605062, 0, 0, 0, 0, 0, 0.192877193605062, 0, 0, 0, 0, 0, 0, 0.192877193605062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
22, 3301.69999898129, 1479.66555568435, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 0.157314936689334, 0.274530535025988, 0.22833263455471, 0.399660371106467, 0.157314936689334, 0.274530535025988, 0, 0, 0.22833263455471, 0, 0.157314936689334, 0, 0.157303678053609, 1.12587655959282E-005, 0.157314936689334, 0, 0, 0, 0, 0, 0.157314936689334, 0, 0, 0, 0, 0, 0, 0.157314936689334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
23, 2923.56960700823, 1300.82439199026, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 0.123021976159071, 0.21410955959931, 0.22833263455471, 0.399660371106467, 0.123021976159071, 0.21410955959931, 0, 0, 0.22833263455471, 0, 0.123021976159071, 0, 0.123014689879888, 7.2863810379844E-006, 0.123021976159071, 0, 0, 0, 0, 0, 0.123021976159071, 0, 0, 0, 0, 0, 0, 0.123021976159071, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
24, 2586.28509288292, 1142.26884911113, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 0.0960192279302282, 0.166533904273412, 0.22833263455471, 0.399660371106467, 0.0960192279302282, 0.166533904273412, 0, 0, 0.22833263455471, 0, 0.0960192279302282, 0, 0.0960137747276825, 5.45328231667219E-006, 0.0960192279302282, 0, 0, 0, 0, 0, 0.0960192279302282, 0, 0, 0, 0, 0, 0, 0.0960192279302282, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
