hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 1.07588, 0.457834, 0, 0
2, 0.00000, 1.06611, 0.453749, 0, 0
3, 0.00000, 1.06037, 0.451414, 0, 0
4, 0.00000, 1.00217, 0.425003, 0, 0
5, 0.00000, 0.743164, 0.308149, 0, 0
6, 0.00000, 0.690393, 0.2842, 0, 0
7, 0.00000, 0.490682, 0.195519, 0, 0
8, 0.00000, 0.550085, 0.222119, 0, 0
9, 0.00000, 0.270278, 0.0979125, 0, 0
10, 0.00000, 0.2703, 0.0978983, 0, 0
11, 0.00000, 0.291879, 0.107349, 0, 0
12, 0.00000, 0.250014, 0.0889646, 0, 0
13, 0.00000, 0.248501, 0.0882729, 0, 0
14, 0.00000, 0.269368, 0.0974697, 0, 0
15, 0.00000, 0.245265, 0.0868218, 0, 0
16, 0.00000, 0.281708, 0.102801, 0, 0
17, 0.00000, 0.412234, 0.160127, 0, 0
18, 0.00000, 0.571193, 0.229943, 0, 0
19, 0.00000, 0.609548, 0.24641, 0, 0
20, 0.00000, 0.874107, 0.364391, 0, 0
21, 0.00000, 1.11222, 0.471675, 0, 0
22, 0.00000, 0.952217, 0.400244, 0, 0
23, 0.00000, 0.788679, 0.327494, 0, 0
24, 0.00000, 1.02736, 0.435591, 0, 0
