hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 848.094, 360.439, 808.67, 400.601, 791.332, 316.78
2, 0.00000, 798.567, 336.251, 767.017, 376.317, 745.984, 301.807
3, 0.00000, 760.106, 317.26, 732.751, 357.893, 709.187, 288.07
4, 0.00000, 764.325, 320.008, 736.858, 359.258, 714.514, 289.856
5, 0.00000, 786.686, 329.846, 759.843, 378.611, 727.765, 289.9
6, 0.00000, 851.067, 364.714, 802.292, 400.632, 793.563, 314.671
7, 0.00000, 812.124, 357.564, 759.215, 374.455, 768.876, 296.747
8, 0.00000, 785.874, 340.037, 732.077, 361.933, 738.674, 285.316
9, 0.00000, 898.633, 386.743, 820.475, 421.419, 827.71, 314.852
10, 0.00000, 942.41, 406.095, 864.675, 445.327, 867.646, 335.706
11, 0.00000, 991.189, 430.501, 918.129, 466.841, 920.063, 361.87
12, 0.00000, 925.249, 397.878, 862.558, 434.51, 859.308, 338.201
13, 0.00000, 949.566, 413.803, 884.073, 441.339, 891.048, 350.602
14, 0.00000, 938.261, 405.795, 874.707, 440.618, 874.057, 343.012
15, 0.00000, 981.432, 426.541, 918.411, 464.501, 914.542, 361.888
16, 0.00000, 1035.42, 450.748, 969.986, 492.463, 963.909, 382.807
17, 0.00000, 1162.79, 510.1, 1086.54, 556.156, 1082.55, 438.606
18, 0.00000, 1304.54, 585.021, 1215.81, 629.387, 1217.91, 482.379
19, 0.00000, 1372.52, 629.47, 1290.8, 655.995, 1306.02, 516.924
20, 0.00000, 1301.12, 591.766, 1217.04, 619.44, 1231.97, 485.331
21, 0.00000, 1263.47, 576.452, 1185.38, 600.212, 1201.03, 476.452
22, 0.00000, 1148.73, 510.122, 1072.52, 544.454, 1080.45, 425.089
23, 0.00000, 1016.45, 443.986, 953.882, 478.716, 953.237, 378.122
24, 0.00000, 897.346, 384.159, 849.696, 421.59, 839.243, 336.52
