hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, 5.38614, 2.05815, 5.02949, 2.57489, 4.7629, 2.0094, 0, 0
2, 0.00000, 4.96016, 1.9049, 4.86521, 2.33236, 4.54467, 2.03842, 0, 0
3, 0.00000, 4.7226, 1.78562, 4.64259, 2.2297, 4.29983, 1.94036, 0, 0
4, 0.00000, 4.43524, 1.70686, 4.28045, 2.07607, 4.03983, 1.75909, 0, 0
5, 0.00000, 5.59362, 2.10939, 5.58315, 2.66202, 5.11208, 2.37976, 0, 0
6, 0.00000, 6.38221, 2.58185, 4.80029, 3.10372, 5.14226, 1.47286, 0, 0
7, 0.00000, 6.10456, 2.87076, 4.15422, 2.77172, 5.2187, 1.13065, 0, 0
8, 0.00000, 8.06064, 3.49141, 7.44577, 3.71295, 7.56677, 3.07071, 0, 0
9, 0.00000, 15.3426, 6.23015, 15.6464, 7.5239, 14.3887, 7.14582, 0, 0
10, 0.00000, 20.7789, 9.36251, 22.4579, 9.89274, 21.1819, 11.0923, 0, 0
11, 0.00000, 17.4268, 8.83942, 19.3393, 7.53892, 19.5304, 9.8546, 0, 0
12, 0.00000, 14.3036, 7.02843, 15.1134, 6.21528, 15.4274, 7.32958, 0, 0
13, 0.00000, 13.839, 6.94917, 14.3213, 5.92894, 14.9778, 6.8608, 0, 0
14, 0.00000, 14.5086, 7.28569, 14.8281, 6.2573, 15.5741, 7.0536, 0, 0
15, 0.00000, 16.1985, 7.85734, 16.9265, 7.20265, 17.1465, 8.16806, 0, 0
16, 0.00000, 16.6617, 7.63696, 17.9292, 7.64331, 17.3076, 8.7475, 0, 0
17, 0.00000, 14.9894, 6.77061, 16.2455, 6.83198, 15.5819, 7.89838, 0, 0
18, 0.00000, 15.3512, 7.20168, 16.2692, 6.88846, 16.1047, 7.84971, 0, 0
19, 0.00000, 14.2609, 6.49543, 14.5716, 6.51742, 14.4168, 6.78062, 0, 0
20, 0.00000, 9.05454, 3.39062, 8.39231, 4.49504, 7.7751, 3.37094, 0, 0
21, 0.00000, 7.43385, 2.95578, 6.93581, 3.54753, 6.67939, 2.82137, 0, 0
22, 0.00000, 7.66749, 3.1081, 6.3527, 3.70397, 6.50014, 2.26763, 0, 0
23, 0.00000, 6.92636, 2.64481, 6.38489, 3.36438, 6.03729, 2.53734, 0, 0
24, 0.00000, 6.10033, 2.27818, 5.93188, 2.94504, 5.44205, 2.4679, 0, 0
