hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
1, 0.00000, 8248.44, -0.144721, 8244.92, -120.204, 8260.15, 119.81, 0, 0, 0.699039, -21.0576, 0.685307, -147.315, 0.625827, 96.9353, 0, 0
2, 0.00000, 8250.81, -0.137801, 8247.34, -120.193, 8261.33, 119.821, 0, 0, 0.64398, -21.1466, 0.654197, -145.806, 0.602916, 95.6636, 0, 0
3, 0.00000, 8252.61, -0.131691, 8249.16, -120.185, 8262.5, 119.83, 0, 0, 0.611794, -20.8434, 0.624338, -145.839, 0.570937, 95.5424, 0, 0
4, 0.00000, 8252.38, -0.132204, 8248.98, -120.186, 8262.34, 119.829, 0, 0, 0.575875, -21.181, 0.576719, -146.06, 0.533287, 96.299, 0, 0
5, 0.00000, 8250.48, -0.114361, 8245.24, -120.207, 8265.38, 119.82, 0, 0, 0.72458, -20.7761, 0.750166, -145.699, 0.682225, 94.857, 0, 0
6, 0.00000, 8248.42, -0.150644, 8245.69, -120.198, 8259.32, 119.81, 0, 0, 0.834664, -22.1759, 0.693245, -153.084, 0.647635, 103.827, 0, 0
7, 0.00000, 8249.92, -0.143305, 8248.39, -120.187, 8260.35, 119.817, 0, 0, 0.817691, -25.3293, 0.605451, -153.898, 0.646434, 107.592, 0, 0
8, 0.00000, 8251.67, -0.144913, 8250.17, -120.176, 8260.55, 119.824, 0, 0, 1.06455, -23.5644, 1.00849, -146.679, 0.988567, 97.7363, 0, 0
9, 0.00000, 8246.8, -0.166552, 8245.21, -120.195, 8257.73, 119.803, 0, 0, 2.00797, -22.267, 2.10563, -145.876, 1.9455, 93.3926, 0, 0
10, 0.00000, 8244.82, -0.174726, 8242.92, -120.205, 8256.11, 119.794, 0, 0, 2.76425, -24.43, 2.97713, -143.979, 2.89609, 92.1542, 0, 0
11, 0.00000, 8242.37, -0.183923, 8240.82, -120.219, 8254.1, 119.785, 0, 0, 2.37073, -27.0795, 2.51878, -141.516, 2.65029, 93.0102, 0, 0
12, 0.00000, 8245.18, -0.170547, 8243.26, -120.209, 8256.39, 119.797, 0, 0, 1.93291, -26.3388, 1.9824, -142.564, 2.06871, 94.3846, 0, 0
13, 0.00000, 8244.32, -0.179816, 8242.93, -120.209, 8254.31, 119.79, 0, 0, 1.87836, -26.843, 1.8804, -142.699, 1.99585, 95.1794, 0, 0
14, 0.00000, 8244.63, -0.170406, 8242.41, -120.212, 8256.13, 119.792, 0, 0, 1.96918, -26.8346, 1.95262, -143.092, 2.07082, 95.4261, 0, 0
15, 0.00000, 8242.47, -0.173984, 8239.69, -120.226, 8255.21, 119.782, 0, 0, 2.18424, -26.0505, 2.23251, -143.277, 2.30068, 94.3102, 0, 0
16, 0.00000, 8239.94, -0.181299, 8236.75, -120.24, 8253.79, 119.769, 0, 0, 2.22435, -24.8058, 2.36627, -143.329, 2.34954, 92.9568, 0, 0
17, 0.00000, 8234.76, -0.213916, 8231.9, -120.258, 8247.89, 119.746, 0, 0, 1.99734, -24.5222, 2.14089, -143.068, 2.11804, 92.8653, 0, 0
18, 0.00000, 8226.83, -0.214717, 8222.53, -120.307, 8247.04, 119.706, 0, 0, 2.06113, -25.3473, 2.14866, -143.255, 2.1724, 93.7204, 0, 0
19, 0.00000, 8223.35, -0.216154, 8218.3, -120.33, 8245.1, 119.681, 0, 0, 1.90561, -24.704, 1.94234, -144.428, 1.93227, 94.4924, 0, 0
20, 0.00000, 8226.82, -0.213451, 8222.9, -120.307, 8246.54, 119.702, 0, 0, 1.17525, -20.7427, 1.15778, -148.481, 1.02763, 96.2624, 0, 0
21, 0.00000, 8228.95, -0.207953, 8225.31, -120.296, 8247.29, 119.712, 0, 0, 0.972168, -21.8913, 0.947126, -147.385, 0.879176, 96.813, 0, 0
22, 0.00000, 8235.2, -0.197021, 8231.27, -120.262, 8250.19, 119.738, 0, 0, 1.00465, -22.2627, 0.89338, -150.506, 0.834445, 100.506, 0, 0
23, 0.00000, 8241.04, -0.180992, 8238.19, -120.233, 8253.58, 119.772, 0, 0, 0.899662, -21.0802, 0.876049, -148.019, 0.793451, 96.9762, 0, 0
24, 0.00000, 8246.56, -0.162011, 8243.75, -120.208, 8257.16, 119.8, 0, 0, 0.789644, -20.6402, 0.803363, -146.611, 0.723674, 95.4066, 0, 0
