PAC,long,lat
519883B,-45.469425086298656,-22.413823112346734
519897B,-45.46931945372978,-22.41419380929682
167148539,-45.469145685824685,-22.41452856753932
519925B,-45.46897152401658,-22.414745886013804
519932B,-45.4686130866246,-22.415063111972984
167148538,-45.46831246125106,-22.415235628021776
167148537,-45.46793404452052,-22.415390299722503
519953B,-45.4688069255991,-22.414918008159532
121962873,-45.46883422451981,-22.414366861341534
121962873,-45.46883422451981,-22.414366861341534
520226B,-45.46868911890766,-22.414556994209875
520233B,-45.46847587885867,-22.414711188370575
520450B,-45.46877541245527,-22.414213455886227
520464B,-45.46869701675388,-22.414014937739125
520471B,-45.46861865162941,-22.413825453282016
521066B,-45.46805744949165,-22.414522688671127
521080B,-45.46790090180514,-22.414197921896516
121962901,-45.46776384782328,-22.413891166743895
521115B,-45.46762676506313,-22.41357537700202
521129B,-45.46749942825596,-22.413268593071052
521143B,-45.46739167508571,-22.413006921831936
121962866,-45.46824308485043,-22.414829303529473
121962894,-45.46824308485043,-22.414829303529473
521185B,-45.46818472784287,-22.41481140522211
521192B,-45.46794227781385,-22.414947615639903
121962852,-45.467651155576334,-22.415056865282054
521206B,-45.46749696681155,-22.41543673441771
521213B,-45.46741826983725,-22.41514787757245
521220B,-45.46735988225271,-22.415120944675834
521227B,-45.467232575123205,-22.414823194434803
121962803,-45.46757502886447,-22.415535881075982
121962838,-45.46757502886447,-22.415535881075982
180756509,-45.467206236678464,-22.41566342292856
180756509,-45.467206236678464,-22.41566342292856
521549B,-45.46656575120841,-22.415900154168753
521822B,-45.467115044523666,-22.414543483694786
521836B,-45.4669975759773,-22.414281840334638
522060B,-45.46724496778097,-22.41271826103889
522067B,-45.46711769302709,-22.41242954448785
522074B,-45.46706078662595,-22.412845267794808
121962908,-45.46727423711633,-22.412754312161724
121962908,-45.46727423711633,-22.412754312161724
121962908,-45.46727423711633,-22.412754312161724
522375B,-45.46690394126381,-22.412430162322096
522417B,-45.46709801945798,-22.412357329826875
522417B,-45.46709801945798,-22.412357329826875
522417B,-45.46709801945798,-22.412357329826875
523418B,-45.46624550712443,-22.41601851933916
523418B,-45.46624550712443,-22.41601851933916
523425B,-45.465954472121155,-22.416154867353214
180756508,-45.46565384045232,-22.41632737710671
523439B,-45.46541174655482,-22.41657199000531
523446B,-45.46514035274504,-22.416771517191705
180756506,-45.464898076285124,-22.41696192615194
180756506,-45.464898076285124,-22.41696192615194
180756507,-45.46473247872086,-22.416835927536
525231B,-45.463432562662604,-22.41746299961767
121962684,-45.46336876835392,-22.421663942436965
121962971,-45.46336876835392,-22.421663942436965
150067483,-45.463379503561214,-22.421971063613626
525721B,-45.46452753491775,-22.416565500497427
525728B,-45.46434208481929,-22.416313084181468
121959681,-45.46359726450214,-22.431952880021356
525931B,-45.463556714970366,-22.43144709860468
525931B,-45.463556714970366,-22.43144709860468
525938B,-45.46323790260709,-22.43200811368348
121959709,-45.46366525594675,-22.43194365027921
121959709,-45.46366525594675,-22.43194365027921
121959709,-45.46366525594675,-22.43194365027921
526057B,-45.463476937910286,-22.4337600002238
526071B,-45.46339799901841,-22.433398872060252
526078B,-45.46334125359596,-22.433868796607612
526085B,-45.46331902954955,-22.43302870930745
526092B,-45.463020336819056,-22.433797445295795
175656171,-45.46355518792154,-22.433913351719752
175656171,-45.46355518792154,-22.433913351719752
175656171,-45.46355518792154,-22.433913351719752
175656170,-45.463467850261054,-22.433949737390435
526309B,-45.46349751080146,-22.431176252482032
526365B,-45.46416167901822,-22.417578347562653
526393B,-45.46389043089863,-22.417823041400197
